name,cuisines
Jalsa,North Indian
Jalsa,Mughlai
Jalsa,Chinese
Spice Elephant,Chinese
Spice Elephant,North Indian
Spice Elephant,Thai
San Churro Cafe,Cafe
San Churro Cafe,Mexican
San Churro Cafe,Italian
Addhuri Udupi Bhojana,South Indian
Addhuri Udupi Bhojana,North Indian
Grand Village,North Indian
Grand Village,Rajasthani
Timepass Dinner,North Indian
Rosewood International Hotel - Bar & Restaurant,North Indian
Rosewood International Hotel - Bar & Restaurant,South Indian
Rosewood International Hotel - Bar & Restaurant,Andhra
Rosewood International Hotel - Bar & Restaurant,Chinese
Onesta,Pizza
Onesta,Cafe
Onesta,Italian
Penthouse Cafe,Cafe
Penthouse Cafe,Italian
Penthouse Cafe,Continental
Smacznego,Cafe
Smacznego,Mexican
Smacznego,Italian
Smacznego,Momos
Smacznego,Beverages
Café Down The Alley,Cafe
Cafe Shuffle,Cafe
Cafe Shuffle,Italian
Cafe Shuffle,Continental
The Coffee Shack,Cafe
The Coffee Shack,Chinese
The Coffee Shack,Continental
The Coffee Shack,Italian
Caf-Eleven,Cafe
Caf-Eleven,Continental
San Churro Cafe,Cafe
San Churro Cafe,Mexican
San Churro Cafe,Italian
Cafe Vivacity,Cafe
Catch-up-ino,Cafe
Catch-up-ino,Fast Food
Catch-up-ino,Continental
Catch-up-ino,Chinese
Catch-up-ino,Momos
Kirthi's Biryani,Chinese
Kirthi's Biryani,Cafe
Kirthi's Biryani,Italian
T3H Cafe,Cafe
T3H Cafe,Italian
T3H Cafe,American
360 Atoms Restaurant And Cafe,Cafe
360 Atoms Restaurant And Cafe,Chinese
360 Atoms Restaurant And Cafe,Continental
360 Atoms Restaurant And Cafe,Italian
The Vintage Cafe,Cafe
The Vintage Cafe,French
The Vintage Cafe,North Indian
Woodee Pizza,Cafe
Woodee Pizza,Pizza
Woodee Pizza,Fast Food
Woodee Pizza,Beverages
Cafe Coffee Day,Cafe
Cafe Coffee Day,Fast Food
My Tea House,Italian
My Tea House,Fast Food
My Tea House,Cafe
My Tea House,European
Hide Out Cafe,Cafe
CAFE NOVA,Cafe
CAFE NOVA,Bakery
Coffee Tindi,Cafe
Coffee Tindi,South Indian
Sea Green Cafe,Cafe
Sea Green Cafe,Fast Food
Sea Green Cafe,Beverages
Cuppa,Cafe
Cuppa,Fast Food
Srinathji's Cafe,North Indian
Srinathji's Cafe,Cafe
Srinathji's Cafe,Chinese
Srinathji's Cafe,Fast Food
Redberrys,Cafe
Redberrys,Italian
Foodiction,North Indian
Foodiction,Fast Food
Foodiction,Chinese
Foodiction,Burger
Sweet Truth,Bakery
Sweet Truth,Desserts
Ovenstory Pizza,Pizza
Faasos,North Indian
Faasos,Biryani
Faasos,Fast Food
