name,rest_type
Jalsa,Casual Dining
Spice Elephant,Casual Dining
San Churro Cafe,Cafe
San Churro Cafe,Casual Dining
Addhuri Udupi Bhojana,Quick Bites
Grand Village,Casual Dining
Timepass Dinner,Casual Dining
Rosewood International Hotel - Bar & Restaurant,Casual Dining
Onesta,Casual Dining
Onesta,Cafe
Penthouse Cafe,Cafe
Smacznego,Cafe
Café Down The Alley,Cafe
Cafe Shuffle,Cafe
The Coffee Shack,Cafe
Caf-Eleven,Cafe
San Churro Cafe,Cafe
San Churro Cafe,Casual Dining
Cafe Vivacity,Cafe
Catch-up-ino,Cafe
Kirthi's Biryani,Cafe
T3H Cafe,Cafe
360 Atoms Restaurant And Cafe,Cafe
The Vintage Cafe,Cafe
Woodee Pizza,Cafe
Cafe Coffee Day,Cafe
My Tea House,Quick Bites
My Tea House,Cafe
Hide Out Cafe,Cafe
CAFE NOVA,Cafe
Coffee Tindi,Cafe
Coffee Tindi,Quick Bites
Sea Green Cafe,Cafe
Cuppa,Cafe
Srinathji's Cafe,Casual Dining
Srinathji's Cafe,Cafe
Redberrys,Cafe
Foodiction,Quick Bites
Sweet Truth,Delivery
Ovenstory Pizza,Delivery
Faasos,Quick Bites
Behrouz Biryani,Delivery
Fast And Fresh,Quick Bites
Szechuan Dragon,Casual Dining
Empire Restaurant,Casual Dining
Maruthi Davangere Benne Dosa,Quick Bites
Chaatimes,Quick Bites
Havyaka Mess,Mess
McDonald's,Quick Bites
Domino's Pizza,Quick Bites
Onesta,Casual Dining
Onesta,Cafe
Hotboxit,Delivery
Kitchen Garden,Quick Bites
Recipe,Casual Dining
Beijing Bites,Casual Dining
Tasty Bytes,Quick Bites
Petoo,Quick Bites
Shree Cool Point,Quick Bites
Corner House Ice Cream,Dessert Parlor
Biryanis And More,Casual Dining
Roving Feast,Quick Bites
FreshMenu,Delivery
Banashankari Donne Biriyani,Quick Bites
Wamama,Casual Dining
Five Star Chicken,Quick Bites
XO Belgian Waffle,Dessert Parlor
Peppy Peppers,Casual Dining
Goa 0 Km,Casual Dining
Chinese Kitchen,Quick Bites
1947,Casual Dining
Cake of the Day,Bakery
Cake of the Day,Dessert Parlor
